Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
onyx-orbit-ring,,,,,,,Size,7,MV-ONY-7,50,shopify,12,deny,manual,179,,TRUE,TRUE,,,
onyx-orbit-ring,,,,,,,Size,8,MV-ONY-8,50,shopify,3,deny,manual,179,,TRUE,TRUE,,,
lumen-stacking-ring,Lumen Stacking Ring,<p>A slim sterling band made to be worn in threes. Start with one.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Ring,"silver, stacking, minimal",TRUE,Size,5,MV-LUM-5,50,shopify,12,deny,manual,89,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/lumen-stacking-ring.png,Lumen Stacking Ring on dark background,active
lumen-stacking-ring,,,,,,,Size,6,MV-LUM-6,50,shopify,12,deny,manual,89,,TRUE,TRUE,,,
lumen-stacking-ring,,,,,,,Size,7,MV-LUM-7,50,shopify,12,deny,manual,89,,TRUE,TRUE,,,
lumen-stacking-ring,,,,,,,Size,8,MV-LUM-8,50,shopify,3,deny,manual,89,,TRUE,TRUE,,,
rose-meridian-ring,Rose Meridian Ring,<p>Rose gold vermeil with a soft dome profile. Warm against every skin tone.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Ring,"rose-gold, band",TRUE,Size,5,MV-ROS-5,50,shopify,12,deny,manual,139,169,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/rose-meridian-ring.png,Rose Meridian Ring on dark background,active
rose-meridian-ring,,,,,,,Size,6,MV-ROS-6,50,shopify,12,deny,manual,139,169,TRUE,TRUE,,,
rose-meridian-ring,,,,,,,Size,7,MV-ROS-7,50,shopify,12,deny,manual,139,169,TRUE,TRUE,,,
rose-meridian-ring,,,,,,,Size,8,MV-ROS-8,50,shopify,3,deny,manual,139,169,TRUE,TRUE,,,
vesper-drop-necklace,Vesper Drop Necklace,<p>A liquid drop of vermeil on a whisper-fine chain. Sits exactly at the collarbone.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Necklace,"gold, pendant, drop",TRUE,Title,Default Title,MV-VESPER,40,shopify,15,deny,manual,199,249,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/vesper-drop-necklace.png,Vesper Drop Necklace on dark background,active
meridian-bar-necklace,Meridian Bar Necklace,"<p>A vertical bar, engraved on request. Minimal from afar, personal up close.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Necklace,"gold, bar, minimal",TRUE,Title,Default Title,MV-MERIDI,40,shopify,15,deny,manual,169,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/meridian-bar-necklace.png,Meridian Bar Necklace on dark background,active
helios-medallion,Helios Medallion,"<p>Our signature medallion, cast with a raised sunburst. Heavy, honest, permanent.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Necklace,"gold, medallion, statement",TRUE,Title,Default Title,MV-HELIOS,40,shopify,15,deny,manual,229,279,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/helios-medallion.png,Helios Medallion on dark background,active
selene-silver-necklace,Selene Necklace,"<p>The Vesper silhouette, recast in solid sterling silver for cooler tones.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Necklace,"silver, pendant",TRUE,Title,Default Title,MV-SELENE,40,shopify,15,deny,manual,159,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/selene-silver-necklace.png,Selene Necklace on dark background,active
cuff-royale,Cuff Royale,"<p>An open cuff with polished sphere finials. Slips on, stays put, steals scenes.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Bracelet,"gold, cuff, statement",TRUE,Size,S,MV-CUF-S,50,shopify,12,deny,manual,219,269,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/cuff-royale.png,Cuff Royale on dark background,active
cuff-royale,,,,,,,Size,M,MV-CUF-M,50,shopify,12,deny,manual,219,269,TRUE,TRUE,,,
cuff-royale,,,,,,,Size,L,MV-CUF-L,50,shopify,3,deny,manual,219,269,TRUE,TRUE,,,
linked-orbit-bracelet,Linked Orbit Bracelet,"<p>Nine hand-assembled links, each soldered and polished individually.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Bracelet,"gold, chain, links",TRUE,Size,S,MV-LIN-S,50,shopify,12,deny,manual,189,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/linked-orbit-bracelet.png,Linked Orbit Bracelet on dark background,active
linked-orbit-bracelet,,,,,,,Size,M,MV-LIN-M,50,shopify,12,deny,manual,189,,TRUE,TRUE,,,
linked-orbit-bracelet,,,,,,,Size,L,MV-LIN-L,50,shopify,3,deny,manual,189,,TRUE,TRUE,,,
rose-cuff-slim,Slim Rose Cuff,"<p>The Royale profile, drawn thinner and warmer in rose vermeil.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Bracelet,"rose-gold, cuff, minimal",TRUE,Size,S,MV-ROS-S,50,shopify,12,deny,manual,149,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/rose-cuff-slim.png,Slim Rose Cuff on dark background,active
rose-cuff-slim,,,,,,,Size,M,MV-ROS-M,50,shopify,12,deny,manual,149,,TRUE,TRUE,,,
rose-cuff-slim,,,,,,,Size,L,MV-ROS-L,50,shopify,3,deny,manual,149,,TRUE,TRUE,,,
silver-link-bracelet,Argent Link Bracelet,<p>Substantial sterling links with a satin finish that improves with wear.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Bracelet,"silver, chain",TRUE,Size,S,MV-SIL-S,50,shopify,12,deny,manual,139,179,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/silver-link-bracelet.png,Argent Link Bracelet on dark background,active
silver-link-bracelet,,,,,,,Size,M,MV-SIL-M,50,shopify,12,deny,manual,139,179,TRUE,TRUE,,,
silver-link-bracelet,,,,,,,Size,L,MV-SIL-L,50,shopify,3,deny,manual,139,179,TRUE,TRUE,,,
twilight-drop-earrings,Twilight Drop Earrings,<p>Elongated drops that move with you. Light enough for all-day wear.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Earrings,"gold, drops",TRUE,Title,Default Title,MV-TWILIG,40,shopify,15,deny,manual,129,159,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/twilight-drop-earrings.png,Twilight Drop Earrings on dark background,active
halo-hoop-earrings,Halo Hoops,"<p>The perfect-circle hoop, sized for everyday. Secured with hinged closures.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Earrings,"gold, hoops",TRUE,Title,Default Title,MV-HALO-H,40,shopify,15,deny,manual,119,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/halo-hoop-earrings.png,Halo Hoops on dark background,active
argent-drop-earrings,Argent Drops,"<p>The Twilight silhouette in bright sterling, for the silver loyalists.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Earrings,"silver, drops",TRUE,Title,Default Title,MV-ARGENT,40,shopify,15,deny,manual,109,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/argent-drop-earrings.png,Argent Drops on dark background,active
